"V1";"V2";"V3";"V4";"V5"
"163";"FGnum_Avg";"1466062186";"Tampon UR";"2012-12-18T11:42:00Z";"2014-10-22T14:09:00Z"
"164";"U_DLF_Avg";"1466063054";"Le Port";"2010-07-03T15:00:00Z";"2012-12-11T07:41:00Z"
"165";"Tdl";"1466063054";"Le Port";"2010-07-03T15:00:00Z";"2012-12-11T07:41:00Z"
"166";"RECORD";"1466063054";"Le Port";"2010-07-03T15:00:00Z";"2012-12-11T07:41:00Z"
"167";"Tcab";"1466063054";"Le Port";"2010-07-03T15:00:00Z";"2012-12-11T07:41:00Z"
"168";"FG";"1466063054";"Le Port";"2010-07-03T15:00:00Z";"2012-12-11T07:41:00Z"
"169";"FD";"1466063054";"Le Port";"2010-07-03T15:00:00Z";"2012-12-11T07:41:00Z"
"170";"CH200_Temp_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"171";"I_Batt_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"172";"PTemp_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-11-08T11:04:00Z"
"173";"DHI_SPN1_A330_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"174";"RH_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"175";"U_CR_Min";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-11-08T11:04:00Z"
"176";"WS_Mean";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"177";"DP_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"178";"I_Load_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"179";"Patm_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"180";"Text_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"181";"U_Batt_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"182";"GHI_SPN1_A330_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"183";"Rain_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"184";"Temp_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-11-08T11:04:00Z"
"185";"T_DLF15_Avg";"1506091350";"Saint Louis";"2016-11-08T11:15:00Z";"2016-12-07T15:02:00Z"
"186";"Tenc_Avg";"1506091350";"Saint Louis";"2016-11-08T11:15:00Z";"2016-12-07T15:02:00Z"
"187";"U_in_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"188";"WD_MeanUnitVector";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"189";"I_in_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"190";"U_DLF15_Min";"1506091350";"Saint Louis";"2016-11-08T11:15:00Z";"2016-12-07T15:02:00Z"
"191";"WD_StdDev";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z"
"192";"WD_002_MeanUnitVector";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"193";"U_301_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"194";"GHI_001_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"195";"P_002_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"196";"DP_002_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"197";"DHI_001_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"198";"T_115_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"199";"T_301_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"200";"RH_002_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"201";"WS_002_Mean";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"202";"WD_002_StdDev";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"203";"I_201_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"204";"RECORD";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2018-02-12T10:29:00Z"
"205";"T_215_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"206";"T_002_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"207";"I_101_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"208";"U_015_Min";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"209";"U_101_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"210";"WSm_002_Max";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
"211";"I_301_Avg";"1506091350";"Saint Louis";"2016-12-07T15:33:00Z";"2018-02-12T10:29:00Z"
